4, 組織の状況*
7.5.1, 一般*組織の品質マネジメントシステムは、次の事項を含まなければならない。*a)この規格が要求する文書化した情報*b)品質マネジメントシステムの有効性のために必要であると組織が決定した、文書化した情報*注記 品質マネジメントシステムのための文書化した情報の程度は、次のような理由によって、それぞれの組織で異なる場合がある。*-組織の規模、並びに活動、プロセス、製品及びサービスの種類*-プロセス及びその相互作用の複雑さ*-人々の力量*
7.5.1.1, 品質マネジメントシステムの文書類*組織の品質マネジメントシステムは、 文書化し、 品質マニュアルに含*めなければならない、 その品質マニュアルは一連の文書 (電子版又は印刷*版) であってもよい.*品質マニュアルの様式及び構造は、 組織の裁量により、 また、 組織の規*模、 文化及び複雑きによって決まる. 一連の文書が使用きれるならば、 組*織の品質マニュアルを構成する文書のリストを保持しなければならない.*品質マニュアルには、 最低限。 次の事項を含めなければならない.*a)品質マネジメントシステムの適用範囲. 除外がある場合には、 除外の*詳細、 及び除外を正当とする理由*b)品質マネジメントシステムについて確立された、 文書化したプロセ*ス、 又はそれらを参照できる情報*c)アウトソースしたプロセスの管理の方式及び程度を含む、 組織のプロ*セス並びにそれらの順序及び相互作用 (インプット及びアウトプッ*ト)*d)組織の品質マネジメントシステムの中の、 どこで顧客固有要求事項に*取り組んでいるかを示す文書 (すなわち、 マトリックス)*注記 この自動車産業 QMS 規格の要求事項が、 どのように組織のプ*ロセスによって取り組まれているかを示すマトリックスは、 組*織のプロセスとこの自動車産業 QMS とのつながりを支援する*ために利用してもよい.*
7.5.2, 作成及び更新*文書化した情報を作成及び更新する際、 組織は、 次の事項を確実に*しなければならない.*a)適切な識別及び記述(例えば、タイトル、日付、作成者、参照番号)*b)適切な形式 (例えば.言語.ソフトウェアの版、図表) 及び媒体(例えば、 紙、電子媒体)*C)適切性及び妥当性に関する、 適切なレビュー及び承認*
7.5.3, 文書化した情報の管理*
7.5.3.1, 品質マネジメントシステム及びこの規格で要求きれている*文書化した情報は、 次の事項を確実にするために管理しなければな*らない.*a)文書化した情報が、 必要なときに、 必要なところで、 入手可能か*つ利用に適した状態である.*b)文書化した情報が十分に保護されている (例えば. 機密性の喪失*不適切な使用及び完全性の喪失からの保護)*
7.5.8.2, 電化した情報の管理に当たって、組織は、該当する場合*には、 必ず、 次の行動に取り組まなければならない.*a)配付 、アクセス、 検索及び利用*b)読みやすさが保たれることを含む、 保管及び保存*c)変更の管理 (例えば、 版の管理)*d)保持及び廃棄*品質マネジメントシステムの計画及び運用のため に組織が必要と決*定した外部からの文書化した情報は、必要に応じて識別し、管理しな*ければならない.*適合の証拠として保持する文書化した情報は、 意図しない改変から*保護しなければならない.*注記 アクセスとは、文書化した情報の閲覧だけの許可に関する決定、又は文書化した情報の閲覧及び変更の許可及び権限に関する決定を意味し得る。*
7.5.8.2.1, 記録の保管*組織は、 記録保管方針を定め、 文書化し、 実施しなければならない. 記*録の管理は、 法令、 規制、 組織及び顧客要求事項を満たさきなければならな*い.*生産部品承認、 治工具の記録 (保全及び保有者を含む.)、 製品設計及び*工程設計の記録、 購買注文書 (該当する場合には、 必ず)、 契約書及びそ*の修正事項は、 製品が生産及びサービス要求事項に対して有効である期間*に加えて1暦年、 保持しなければならない. ただし、 顧客又は規制当局*によって規定されたときは、 この限りでない.*注記 生産部品承認の文書化した情報には、 承認された製品、 該当す*る設備の記録、 又は承認された試験データを含めてもよい.*
7.5.3.2.2, 技術仕様書*組織は、 顧客の全ての技術規格仕様書及び関係する改計に対して、 有要*求される顧客スケジュールに基づいて、 レビュー、 配付及び実施を記述し*た文書化したプロセスをもだたなければならない.*技術規格仕様書の変更が、 製品設計変更になる場合は、 ISO 9001 の*8.8.6 の要求事項を参照する. 技術規格/仕様書の変更が、 製品実現プロ*セスの変更になる場合は、 8.5.6.1 の要求事項を参照する. 組織は、 生産*において実施された各変更の日付の記録を保持しなければならない. 実施*には、 更新された文書を含めなければならない.*レビューは、 技術規格仕様書の変更を受領してから、 10 稼働日内に*完了することが望ましい.*注記 技術規格仕様書の変更は、 仕様書が設計記録に引用きれて*いる、 又は、 コントロールプラン、 リスク分析 (FMEA のよ*うな)、 などのような生産部品承認プロセス文書に影響する場*合、 顧客の生産部品承認の更新された記録が要求きれる場合が*ある.*
8, 運用*
8.1, 運用の計画及び管理*組織は、 に示す事項の実施によって、製品及びサービスの提供に*関する要求事項を満たすため、並びに箇条6で決定した取組を実施するために必要なプロセスを、計画し、実施し、かつ、管理しなければならない(4.4参照)*a)製品及びサービスに関する要求事項の明確化*b)次の事項に関する基準の設定*1)プロセス*2)製品及びサービスの合否判定*c)製品及びサービスの要求事項への適合を達成するために必要な資源の明確化*d) b)の基準に従った、 プロセスの管理の実施*e)次の目的のために必要な程度の、文書化した情報の明確化、維持*及び保持*1)プロセスが計画どおりに家施されたという確信をもつ.*2)製品及びサービスの要求事項への適合を実証する.*この計画のアウトプットは、 組織の運用に適したものでなければな*らない。*組織は、 計画した変更を管理し、意図しない変更によって生じた結果をレビューし、 必要に応じて、有害な影響を軽減する処置をとらな*ければならない.*組織は、外部委託したプロセスが管理されていることを確実にしなければならない(8.4参照)*組織は、 外部委託したプロセスが管理きれていることを確実にしな*ければならない (8.4 参照)*
8.1.1, 運用の計画及び管理一補足*製品実現の計画をする際は、 次の事項を含めなければならない.*a)顧客の製品要求事項及び技術仕様書*b)物流要求事項*c)製造フィージビリティ*d)プロジェクト計画 (ISO 9001 の 8.3.2 参照)*e)合否判定基準*ISO 9001 の 8.1 c) に特定される資源は、 製品及び製品の合否判定基準*に固有の、 要求される検証、 記当性確認、 監視、 測定、 検査及び試験活動*について述べている.*
8.1.2, 機密保持*組織は、 顧客と契約した開発中の製品及びプロジェクト、 並びに関係製*品情報の機密保持を確実にしなければならない.*
8.2, 製品及びサービスに関する要求事項*
8.2.1, 顧客とのロミュニケーション*顧客とのコミュニケーションには、次の事項を含めながらならない。*a)製品及びサービスに関する情報の提供*b)引合い、契約又は注文の処理、これらの変更を含む*c)普情を含む、 製品及びサービスに関する顧客からのフィードバッ*クの取得*d)顧客の所有物の取扱い又は管理*e)関連する場合には、 不測の事態への対応に関する特定の要求事項*の確立*
8.2.1.1, 顧客とのコミュニケーション-補足*記述された又は口頭のコミュニケーションは、 顧客と合意した言語によ*らなければならない. 組織は、 顧客に規定されたコンピュータ言語及び書*式 (例 _ CAD データ、 電子データ交換) を含めて、 必要な情報を伝達す*る能力をもたなければならない.*
8.2.2, 製品及びサービスに関する要求事項の明確化*製品及びサービスに関する要求事項の明確化一補足*顧客に提供する製品及びサービスに関する要求事項を明確にするとき、*組織は、次の事項を確実にしなければならない。*a)次の事項を含む、製品及びサービスの要求事項が定められてい*る.*1)適用される法令・規制要求事項*2)組織が必要とみなすもの*b)組織が、 提供する製品及びサービスに関して主張していることを*満たすことができる。*
8.2.2.1, 製品及びサービスに関する要求事項の明確化一補足*これらの要求事項には、 製品及び製造工程について組織の知識の結果と*してリサイクル、 環境影響及び特性を含めなければならない.*ISO 9001 の 8.2.2 a)1)への適合には、 材料の入手、 保管、 取扱い. リ*サイクル、 除去、 又は廃棄に関係する、 全ての該当する政府の、 安全規制*及び環境規制を含めなければならない. しかし、 それに限定されない.*
8.2.3, 製品及びサービスに関する要求事項のレビュー*
8.2.3.1, 組織は、 顧客に提供する製品及びサービスに関する要求事*項を満たす能力をもつことを確実にしなければならない. 組織は、 製*品及びサービスを顧客に提供することをコミットメントする前に、次の事項を含め、レビューを行わはなければならない。*a)顧客が規定した要求事項、これには引渡し及び引き渡し後の活動に関する要求事項を含む*b)顧客が明示してはいないが、指定された用途又は意図された用途が既知である場合、それらの用途に応じた要求事項*c)組織が規定した要求事項*d)製品及びサービスに適用される法令・規制要求事項*e)以前に提示されたものと異なる、 契約又は注文の要求事項*組織は、 契約又は注文の要求事項が以前に定めたものと異なる場合*には、 それが解決されていることを確実にしなければならない.*顧客がその要求事項を書面で示さない場合には、 組織は、 顧客要求*事項を受諾する前に確認しなければならない.*注記 インターネット販売などの幾つかの状況では、 注文ごとの*正式なレビューは実用的ではない。その代わりとして、レ*ビューには、カタログなどの、 関連する製品情報が合*まれ得る.*
8.2.8.1.1, 製品及びサービスに関する要求事項のレビュー一補足*組織は、 正式なレビューのための、 ISO 9001 の 8.2.3.1 に述べられて*いる要求事項に対する顧客が正式許可した免除の、 文書化した証拠を保持*しなければならない.*
8.2.8.1.2, 顧客指定の特殊特性*組織は、 特殊特性の指定、 承認文書及び管理に対する顧客要求事項に適*合しなければならない.*
8.2.3.1.3, 組織の製造フィージビリティ*組織は、 組織の製造工程が一貫して、 顧客の規定した全ての技術及び生*産能力の要求事項を満たす製品を生産できることが実現可能か否かを判定*するための分析を実施するために、 部門横断的アプローチナチを利用しなけれ*ばならない. 組織は、 このフィージビリティ分析を、 組織にとって新規の*製造技術又は製品技術に対して及び変更された製造工程又は製品設計に対*して実施しなければならない.*加えて、 組織は、 生産稼働.ベンチマーキングダグダ調査、 又は他の適切な方*法で、 仕様どおりの製品を要求さきれる速度で生産する能力の世当性確認を*行うことが望ましい.*
8.2.3.2, 組織は、 該当する場合には 必ず. 次の事項に関する文書*化した情報を保持しなければならない.*a)レビューの結果*b) 製品及びサービスに関する新たな要求事項*
8.2.4, 製品及びサービスに関する要求事項の変更*製品及びサービスに関する要求事項が変更されたときには、組織は、関連する文書化した情報を変更することを確実にしなければならない。*また、変更後の要求事項が、関連する人々に理解されていることを確実にしなければならない。*
8.3, 製品及びサービスの設計・開発*
8.3.1, 一般*組織は、 以降の製品及びサービスの提供を確実にするために適切な*設計・開発プロセスを確立し、 実施し、 維持しなければならない*
8.3.1.1, 製品及びサービスの設計・開発一補足*ISO 9001 の 8.3.1の有要求事項は、 製品及び製造工程の設計・開発に適*用し、 不具合の検出よりも不具合の予防を重視しなければならない.*組織は、 設計・開発プロセスを文書化しなければならない.*
8.3.2, 設計・開発の計画*設計・開発の段階及び管理を決定するに当たって、組織は、次の事項を考慮しなければならない。*a)設計・開発活動の性質、期間及び複雑さ*b)要求されるプロセス段階、これには適用される設計・開発のレビューを含む。*c)要求される、設計・開発の検証及び妥当性確認活動*d)設計・開発プロセスに関する責任及び権限*e)製品及びサービスの設計・ 開発のための内部資源及び外部資源の*必要性*f)設計・ 開発プロセスに関する人々の問のインタフェーズの管理*の必要性*g)設計・開発プロセスへの顧客及びユーザの参画の必要性*h)以降の製品及びサービスの提供に関する要求事項*i)顧客及びその他の密接に関連する利害関係者によって期待される、設計・開発プロセスの管理レベル*j)設計・開発の要求事項を満たしていることを実証するために必要な文書化した情報*
8.3.2.2, 製品設計の技能*組織は、 製品設計の責任を負う要員が、 設計要求事項を実現する力量*をもち、 適用きれるツール及び手法の技能をもつことを確実にしなければ*ならない. 組織は、 適用きれるツール及び手法を明確にしなければならな*い*注記 製品設計の技能の例の一つとして、デジタル化された数学的なデータの適用がある。*
8.3.2.8, 組込みソフトウェアをもつびつ製品の開発*組織は、 内部で開発された組込みソフトウェアをもつ製品に対する品質*保証のプロセモスを用いなければならない. ソフトウェア開発評価の方法論*を、 組織のソフトウェア開発プロセスを評価するために利用しなければな*らない. リスク及び顧客に及ぼす潜在的な影響に基づく優先順位付けを用*いて、 組織は、 ソフトウェア開発能力の自己評価の文書化した情報を保持*しなければならない.*組織は、ソフトウェア開発を内部監査プログラム (9.2.2.1 参照) の範*囲に含めなければならない.*
8.3.3, 設計・開発へのインプット*組織は、 設計・開発する特定の種類の製品及びサービスに不可欠な*要求事項を明確にしなければならない. 組織は、 次の事項を考慮しなければならない*a)機能及びパフォー マンスに関する要求事項*b)以前の類似の設計・開発活動から得られた情報*c)法令・規制要求事項*d)組織が実施することをコミットメントしている。標準又は規範 (codes of practice)*e)製品及びサービスの性質に起因する失敗により起こり起こり得る結果*インプットは、 設計・開発の目的に対して適切で、 漏れがなく、 暖*昧でないものでなければならない.*設計・開発へのインプット間の相反は、 解決しなければならない.*組織は、 設計・開発へのインプットに関する文書化した情報を保持*しなければならない.*
8.3.3.1, 製品設計へのインプット*組織は、 契約内容の確認の結果として、 製品設計へのインプット要求事*項を特定し、 文書化し、 レビューしなければならない. 製品設計へのイン*プット要求事項には、 次の事項を含める. しかし、 それに限定されない.*a)特殊特性 (8.3.3.3 参照) を含む。 しかし、 それに限定されない製品*仕様書*b)境界及びインタフェース要求事項*c)識別.、トレーサビリティ及び包装*d)設計の代替案の検討*e)インプット要求事項に伴うリスク及びリスクを緩和する/管理する組*織の能力の、 フィージビリティ分析の結果を含む評価*f)保存、 信頼性、 耐久性、 サービス性、 健康、 安全、 環境、 開発タイミ*ング及びコストを含む、 製品要求事項への適合に対する目標*g)顧客から提供きされた場合、 顧客指定の仕向国の該当する法令・規制要*求事項*h)組込みソフトウェア要求事項*組織は、 現在及び未来の類似するプロジェクトのために、 過去の設計プ*ロジェクト、 競合製品分析 (ベンチマーキング)、 供給者からのフィード*バック、 内部からのインプット、 市場データ及び他の関連する情報源から*得られた情報を展開するプロセスをもたなければならない.*注記 設計の代替案を検討する4アプローチの一つは、 トレードオフ曲*線の活用である.*
8.3.3.2, 製造工程設計へのインプット*組織は、 製造工程設計へのインプット要求事項を特定し、 文書化し、 レ*ビューしなければならない. これには次の事項を含めなければならない.*しかし、 それに限定されない.*a)特殊特性を含む、 製品設計からのアウトプットデータ*b)生産性、 工程能力.タイミング及びコストに対する有目標*c)製造技術の代替案*d)もしあれば、 顧客要求事項*e)過去の開発からの経験*f)新材料*g)製品の取扱い及び人間工学的要求事項*h)製造設計、 組立設計*製造工程設計には、 問題の大きさに対して適切な程度で、 遭遇するリス*クに見合う程度のポカヨケ手法の採用を含めなければならない.*
8.3.3.3, 特殊特性*組織は、 顧客によって決定された、 また組織によって実施きれたリスク*分析による特殊特性を特定するプロセスを確立し、 文書化し、 実施するた*に部門横断的アプローチを用いなければならない. それには次の事項を*含めなければならない.*a)図面 (必要に応じて)、 リスタク分析 (FMEA のような)、 コントロー*ルプラン及び標準作業作業者指示書における全ての特殊特性の文書*化. 特殊特性は、 固有の記号で識別され、 これらの各文書を通じて展*開される.*b)製品及び生産工程の特殊特性に対する管理及び監視戦略の開発*c)要求がある場合、 顧客規定の承認*d)顧客規定の定義及び記号、 又は記号変換表に定められた、 組織の同等*の記号若しくは表記法への適合. 記号変換表は、 要求されれば顧客に*提出しなければならない.*
8.3.4, 設計・開発の管理*組織は、次の事項を確実にするために、設計・開発プロセスを管理しなければならない。*a)達成すべき結果を定める*b)設計・開発の結果の、要求事項を満たす能力を評価するために、レビューを行う。*c)設計・開発からのアウトプットが、インプットの要求事項を満たすことを確実にするために、検証活動を行う。*d)結果として得られる製品及びサービスが、指定された用途又は意図された用途に応じた要求事項を満たすことを確実にするために、妥当性確認活動を行う。*e)レビュー、又は検証及び妥当性確認の活動中に明確になった問題に対して必要な処置をとる。*f)これらの活動についての文書化した情報を保持する*注記 設計・開発のレビュー、 検証及び妥当性確認は、 異なる目的をもつ. これらは、組織の製品及びサービスに応じた適*切な形で、 個別に又は組み合わせて行うことができる.*
8.3.4.1, 監視*製品及び工程の設計・開発中の規定された段階での測定項目を、 定め、*分析し、 そして、 その要約した結果をマネジメントレビューへのインプッ*トとして報告しなければならない (9.3.2.1 参照).*顧客に要求される場合、 製品及び工程の開発活動の測定項目は、 規定き*れた段階で顧客に報告する、 又は顧客に合意きれなければならない.*注記 必要に応じて、 測定項目には、 品質リスク、 コスト、 リードタ*イム、 クリティカルパス、 などの測定項目を含めてもよい.*
8.3.4.2, 設計・開発の妥当性確認*設計・開発の妥当性確認は、 該当する産業規格及び政府機関の発行する*規制基準を含む、 顧客要求事項に従って実行したなければならない. 設計・*開発の妥当性確認のタイミングは、 該当する場合には、 必ず、 顧客規定の*タイミングに合わせて計画しなければならない.*顧客との契約上の合意がある場合、 設計・開発の婦当性確認には、 顧客*最終製品のシステム内において、 組込みソフトウェアを含めて、 組織の*製品の相互作用の評価を含めなければならない.*
8.3.4.3, 試作プログラム*顧客から要求される場合、 組織は、 試作プログラム及び試作コントロー*ルプランをもたなければならない. 組織は、 可能な限り、 量産で採用する*同一の供給者、 治工具及び製造工程を使用しなければならない.*タイムリーな完了及び要求事項への適合のために、 全ての性能試験活動*を監視しなければならない.*これらの業務をアウトソースする場合、 組織は. アウトソースしたサ*ービスが要求事項に適合することを確実にするために、 管理の方式及び程*度を品質マネジメントシステムの適用範囲に含めなければならない (ISO*9001 の 8.4 参照) .*
8.8.4.4, 製品承認プロセス*組織は、 顧客に定められた要求事項に適合する、 製品及び製造の承認プ*ロセスを、 確立し、 実施し、 維持しなければならない.*組織は、 自らの部品承認を顧客に提出するのに先立って、 外部から提供*さきれる製品及びサービスを1SO 9001 の 8.4.3 によって承認しなければな*らない.*組織は、 顧客に要求される場合、 出荷に先立って、 文書化した顧客の製*品天認を取得しなければならない. そのような承認の記録は、 保持しなけ*ればならない.*注記 製品承認は、 製造工程が検証された後で実施することが望まし*い.*
8.3.5, 設計・開発からのアウトプット*組織は、  設計・開発からのアウトプットが、次のとおりであること*を確実にしなければならちない. |*a)インプットで与えられた要求事項を満たす.*b)製品及びサービスの提供に関する以降のプロセスに対して適切で*ある.*c)必要に応じて、 監視及び測定の要求事項、 並びに合否判定基準を*含むか、 又はそれらを参照している.*d)意図した目的並びに安全で適切な使用及び提供に不可欠な、 製品*及びサービスの特性を規定している.   [*組織は、 設計・ 開発のアウトブットについて、 支間化した情報を保持しなければならない。*
8.8.5.1, 設計・開発からのアウトプット一補足*製品設計からのアウトプットは、 製品設計へのインプット有要求事項と対*比した検証及び妥当性確認ができるように表現しなければならない. 製品*設計からのアウトプットには、 該当する場合には、 必ず、 次の事項を含め*なければならない. しかし、 それに限定されない.*a)設計リスク分析 (FMEA)*b)信頼性調査の結果*c)製品の特殊特性*d)DFSS、 DFMA 及びFTA のような、 製品設計のポカヨケの結果*e)3D モデル、 技術データパッケージ、 製品製造の情報及び幾何寸法と*公差 (GD&T) を含む、 製品の定義*f)2D 図、 製品製造の情報及び幾何寸法と公差 (GD&T)*g)製品デザインレビューの結果*h)サービス牙障診断の指針並びに修理及びサービス可能性の指示書*i)サービス部品要求事項*j) 出荷のための包装及びラベリング要求事項*注記 暫定設計のアウトプットには、 トレードオフプロセスを通じて*解決された技術問題を各めることが望ましい.*
8.3.5.2, 製造工程設計からのアウトプット*組織は、 製造工程設計からのアウトプットを、 製造工程設計へのインプ*ットと対比した検証ができるように文書化しなければならない. 組織は、*そのアウトプットを、 製造工程設計へのインプット要求事項と対比して検*証しなければならない. 製造工程設計からのアウトプットには、 次の事項*を含めなければならない. しかし、 それに限定されない.*a)仕様書及び図面*b)製品及び製造工程の特殊特性*c)特性に影響を与える、 工程インプット変数の特定*d)設備及び工程の能力調査を含む、 生産及び管理のための治工具及び設備*e)製品、 工程及び治工具のつながりを含む、 製造工程フローチャート/レイアウト*f) 生産能力の分析*g) 製造工程FMEA*h) 保全計画及び指示*i)コントロールプラン (附属書 A 参照)*j)標準作業及び作業指示書*k)工程承認の合否判定基準*l)品質、 信頼性、 保全性及び測定性に対するデータ*m)必要に応じて、 ポカヨケの特定及び検証の結果*n)製品/製造工程の不適合の迅速な検出 フィードバック及び修正の方法*
8.3.6, 設計・開発の変更*組織は、 要求事項への適合に影響を及ぼさない事を確実にする*ために必要な程度まで、製品及びサービスの設計・開発の間又はそれ*以降行われた変更を識別し、レビューし、管理しなければならない。*組織は次の事項に関する文書化した情報を保持しなければならない。*a)設計・開発の変更*b)レビューの結果*c)変更の許可*d)悪影響を防止するための処置*
8.3.6.1, 設計・開発の変更一補足*組織は、 組織又はその供給者から提案きれたものを含めて、 初回の製品*承認の後の全ての設計変更を、 取付時の合い、 形状、 機能、 性能及びン双*は耐久性に関する溶在的な影 衝し本仙導入層引m これら*の変更は、 生産で実施する前に、 孔客要求事項に対する妥当性確認を実施*して、 内部で承認しなければならない.*顧客から要求される場合、 組織は、 文書化した承認、 又は文書化した免*除を、 生産で実施する前に顧客から得なければならない.*組込みソフトウェアをもつ製品に対して、 組織は、 ソフトウェア及びハ*ドウェアの改訂レベルを変更記録の一部として文書化しなければならな*い.*
8.4, 外部から提供されるプロセス、 製品及びサービスの管理*
8.4.1, 一般*組織は、外部から提供きれるプロセス、製品及びサービスが、要求事項に適合していることを確実にしなければならない.*組織は、次の事項に該当する場合には、外部から提供きれるプロセス、製品及びサービスに適用する管理を決定しなければならない。*a)外部提供者からの製品及びサービスが、組織自身の製品及びサービスに組み込むことを意図したものである場合*b)製品及びサービスが、組織に変わって、外部提供者から直接顧客に提供される場合*c)プロセス又はプロセスの一部が、組織の決定の結果として、外部提供者から提供される場合.*組織は、要求事項に従ってプロセス又は製品・サービスを提供する外部提供者の能力に基づいて、外部提供者の評価 選択、パフォーマンスの監視、及び再評価を行うための基準を決定し、適用しなければならない. 組織は、これらの活動及びその評価によって生じる必要な処置について、文書化した情報を保持しなければならない.*
8.4.1.1, 一般一補足*組織は、サブアセンブリ、整列、選別、手直し及び校正サービスのような、 顧客要求事項に影響する全ての製品及びサービスを、外部から提供される製品、プロセス及びサービスの定義の範囲に含めなければならない.*
8.4.1.2, 供給者選定プロセス*組織は、文書化した供給者選定プロセスをもたなければならない. 選定プロセスには、次の事項を含めなければならない.*a)選定される供給者の製品適合性及び顧客に対する組織の製品の途切れない供給に対するリスクの評価*b)関連する品質及び納入パフォーマンス*c)供給者の品質マネジメントシステムの評価*d)部門横断的意思決定*e)該当する場合には、必ず、ソフトウェア開発能力の評価*ほかにも供給者の選定基準には、次の事項を考慮することが望ましい、*― 自動車事業の規模 (絶対値及び事業全体おける割合)*― 財務的安定性*― 購入される製品、材料、又はサービスの複雑さ*― 必要な技術 (製品又はプロセス)*― 利用可能な資源 (例 人材、インフラストラクチャ) の適切性*― 設計・開発の能力 (プロジェクトマネジメントを含む. )*― 製造の能力*― 変更管理プロセス*― 事業継続計画 (例 災害への準備 緊急事態対応計画)*― 物流プロセス*― 顧客サービス*
8.4.1.3, 顧客指定の供給者 (【指定購買】としても知られる)*顧客に規定された場合、組織は、製品、材料、又はサービスを顧客指定の供給者から購買しなければならない.*8.4 の全ての要求事項 IATF 16949 の 8.4.1.2 の要求事項を除く.)は、 組織と顧客との間で契約によって定められた特定の合意がない限り、組織の顧客指定の供給者の管理に対して、適用きれる.*
8.4.2, 管理の方式及び程度*組織は、外部から提供されるプロセス、製品及びサービスが、顧客に一貫して適合した製品及びサービスを引き渡す組織の能力に悪影響を及ぼさないことを確実にしなければならない。組織は、次の事項をお行わなければならない。*a)外部から提供さきれるプロセスを組織の品質マネジメントシステムの管理下にとどめることを確実にする。*b)外部提供者に適用するための管理、及びそのアウトプットに適用するための管理の両方を定める。*c)次の事項を考慮にいれる*1)外部から提供されるプロセス、製品及びサービスが、顧客要求事項及び適用される法令・規制要求事項を一貫して満たす組織の能力に与える潜在的な影響*2)外部提供者によって適用される管理の有効性*d)外部から提供さきれるプロセス、製品及びサービスが要求事項を満たすことを権実にするために必要な検証又はその他の活動を明確にする*
8.4.2.1, 管理の方式及び程度一補足*組織は、アウトソースしたプロセスを特定する、並びに、外部から提供される製品、プロセス及びサービスに対し、内部 (組織) 及び外部顧客の要求事項への適合を検証するために用いる管理の方式及び程度を選定する、文書化したプロセスをもたなければならない.*そのプロセスには、管理の方式及び程度を拡大する又は縮小する判断基準及び処置、並びに供給者のパフォーマンス、及び製品、材料又はサービスのリスクの評価に基づく開発活動を含めなければならない.*
8.4.2.2, 法令・規制要求事項*組織は、購入した製品、プロセス及びサービスが、受信国、出荷国及び顧客に特定された仕向国の現在該当する法令・規制要求事項が提供きれれば、その有要求事項に適合することを確実にするプロセスを文書化しなければならない.*顧客が、法令・規制要求事項をもつ製品に対して特別管理を定めているならば、組織は、供給者で管理する場合を含めて、定められたとおりに実施し、維持することを確実にしなければならない.*
8.4.2.3, 供給者の品質マネジメントシステム開発*組織は、自動車の製品及びサービスの供給者に、顧客による他の許可[例 下記のa)] がない限り、この自動車産業 QMS 規格に認証されることを最終的な目標として、ISO 9001 に認証された品質マネジメントシステムの開発、実施及び改善を要求しなければならない. この要求事項を達成するために、次の順序を適用することが望ましい. ただし、顧客によって他に規定されたときは、この限りではない.*a)第二者監査を通じた ISO 9001 に対する適合*b)第三者審査を通じたISO 9001 に対する認証. 顧客による他の規定がない限り、組織への供給者はISO 9001 に対する認証を実証しなければならない. 実証するには認証機関が主に対象としている範囲はISO/IEC 17021 へのマネジメントシステム認証が含まれるところで、正式に認められたIATF MLA (International Accreditation Forum Multilateral Recognition Arrangement) メンバーの認定マークをもつ認定機関が発行する第三者認証を維持する.*c)第二者監査を通じた、顧客が定めた他の QMS 要求事項 (例えばMinimum Automotive Quahty Management System Requirements for Sub-Tier Suppliers [MAQMSR] 又はそれに相当するもの) への適合を伴う ISO 9001 に対する認証*d)第二者監査を通じたIATF 16949 に対する適合を伴う ISO 9001 への認証*e)第三者審査を通じた IATF16949 に対する認証 (IATF が認めた認証機関による、 IATF 16949 への供給者の有効な第三者認証)*
8.4.2.3.1, 自動車製品に関係するソフトウェア又は組込みソフトウェアをもつ製品*組織は、自動車製品に関係するソフトウェアの供給者、又は組込みソフトウェアをもつ自動車製品の供給者に、その製品に対するソフトウェア品質保証のためのプロセスを実施し維持することを要求しなければならない.*ソフトウェア開発評価の方法論は、供給者のソフトウェア開発を評価するために活用しなければならない. リスク及び顧客へ及ぼす潜在的影響に基づく優先順位付けを用いて、組織は、供給者にソフトウェア開発能力の目己評価の文書化した情報を保持するよう要求しなければならない.*
8.4.2.4, 供給者の監視*組織は、外部から提供きれる製品、プロセス及びサービスの内部及び外部顧客の要求事項への適合を確実にするために、供給者のパフォーマンスを評価する文書化したプロセス及び判断基準をもたなければならない.*最低限、次の供給者のパフォーマンス指標を監視しなければならない.*a)納入された製品の要求事項への適合*b)構内保留及び出荷停止を含む、受入工場において顧客が被った迷惑*c)納期パフォーマンス*d)特別輸送費の発生件数*もし顧客から提供されれば、組織は、必要に応じて、次の事項も供給者パフォーマンスの監視に含めなければならない.*e)品質問題又は納期問題に関係する、特別状態の顧客からの通知*f)ディーラーからの返却、補償、市場処置及びリコール*
8.4.2.4.1, 第二者監査*組織は、供給者の管理方法に第二者監査プロセスを含めなければならな*い. 第二者監査は、次の事項に対して使用してもよい.*a)供給者のリスク評価*b)供給者の監視*c)供給者の QMS 開発*d)製品監査*e)工程監査*最低限、製品安全規制要求事項、供給者のパフォーマンス及び QMS*認証レベルを含む。リスク分析に基づいて、組織は、第二者監査の必要性、方式、頻度及び範囲を決定するための基準を文書化しなければならない.*組織は、第二者監査報告書の記録を保持しなければならない.*第二者監査の範囲が供給者の品質マネジメントシステムを評価する場合、その方法は自動車産業プロセスアプローチと整合性がとれていなければならない.*注記 手引は、IATF審査員ガイド及びISO 19011 に見いだすことができる.*
8.4.2.5, 供給者の開発*組織は、現行の供給者に対し、必要な供給者開発の優先順位、方式、程度及びタイミングを決定しなければならない. 決定をするためのインプットには次の事項を含めなければならない. しかし、それに限定されない.*a)供給者の監視 (8.4.2.4 参照) を通じて特定きされたパフォーマンス問題*b)第二者監査の所見 (8.4.2.4.1 参照)*c)第三者品質マネジメントシステム認証の状態*d)リスク分析*組織は、未解決 (未達) のパフォーマンス問題を解決するため及び継続的改善に対する機会を追求するために必要な処置を実施しなければならない.*
