4.4, 品質マネジメントシステム及びそのプロセス *
8.2.4, 製品及びサービスに関する要求事項の変更 *製品及びサービスに関する要求事項が変更された際には、関連する文書化した情報を変更すると共に、 *変更後の要求事項について、関連する人々に理解される事を確実にしてください。 *
8.3, 製品及びサービスの設計・開発 *
8.3.1, 一般 *製品及びサービスの提供を確実にするために適切な設計・開発プロセスを確立し、実施し、 *維持してください。 *
8.3.1.1, 製品及びサービスの設計・開発-一補足【IATF】【全体】 *設計・開発の要求事項は、製品の設計・開発だけでなく、製造工程の設計・開発にも適用します。 *エラーの検出よりも、エラー自体が発生しないよう予防に焦点を合わせてください。 *設計・開発プロセスを文書化してください。 *
8.3.2, 設計・開発の計画 *要求事項を満たすため、設計・開発の計画を作成し、管理してください。 設計・開発の *計画においては、次の事項を明確にしてください。 *(1) 設計・開発のステップ *(2) 設計・開発の各ステップに適したレビュー、検証及び妥当性の確認 *(3) 設計・開発に関する責任及び権限 *(4) 設計・開発の要求事項を満たしていることを実証するために必要な文書化した情報 *効果的なコミュニケーションと責任の明確な割り当てを確実にするために、設計・開発に関与する *グループ間のインターフェースを運営管理してください。設計・開発の進行に応じて、作成した計画を *適宜更新してください。 *
8.3.2.1, 設計・開発の計画一-補足 【IATF】【限定】 *次の活動について、部門横断的アプローチには設計開発プロセスに影響を受ける全ての当社内の利害関係者 *及び必要に応じてサプライチェーンを含める事を確実にする。 *(1) プロジェクトマネジメント例) APQP *(2)代替の設計提案及び製造工程案の使用を検討するような、製品設計及び工程設計の活動 *(3) 潜在的リスクを低減する処置を含む、製品設計リスク分析(FMEA) の実施及びレビュー *(4) 製造工程リスク分析の実施及びレビュー(FMEA、 コントロールプラン及び作業指示書など) *
8.3.2.2, 製品設計の技能【IATF】【全体】 *取引先企業は、 製品設計に責任を持つ要員が、 設計要求事項を実現する力量を持ち、 該当するツールおよび *手法の技能を持つ事を確実にしてください。 *また該当するツールおよび手法を明確にしてください。 *
8.3.3, 設計・開発へのインプット *製品要求事項に関連かるインプットを明確にし、文書化し記録を維持してください。インプットには *次の事項を含めてください、。 *(1) 機能及び性能に関する要求事項 *(2) 適用される法令、規制要求事項 (環境管理物質の非含有確認を含む) *(3) 以前の類似した設計から得られた情報 *(4) 貴社が実施することをコミットメントしている、 標準・ *(5) 製品の性質に起因する失敗により起こり得る結果 *これらのインプットは、その適切性をレビューしてください。 要求事項は漏れがなく曖昧でなく、相 *反することがないようにしてください。 *
8.3.3.1, 製品設計へのインプット【IATF】【限定】 *契約内容の確認の結果として、 製品設計へのインプット要求事項を特定し、 文書化し、レビューしてくださ *い。 *製品設計へのインプット要求事項には次を含める。 *(1) 特殊特性を含む、しかしそれに限定されない製品仕様書 *(2) 境界及びインターフェース要求事項 *(3) 識別、トレーサビリティ、及び荷交 *(4) 設計代替案の検討 *(5)インプット要求事項に伴うリスク、およびリスクを緩和する・管理する組織の能力のフィージビリティ *の結果を含む評価 *(6) 保存、信頼性、耐久性、サービス性、健康、安全、環境、開発タイミング、及びコストを含む、    ー *製品要求事項への適合に対する目標                               (し) *(7) 当社から提供された場合、顧客指定の仕向け国の該当する法令、規制要求事項 *
8.3.3.2, 製造工程設計へのインプット【IATF】【限定】 *製造工程へのインプット要求事項を特定し、文書化し、レビューする。これには次を含めてください。 *(1) 特殊特性を含む製品設計からのアウトプットデータ *(2) 生産性、工程能力、タイミング、及びコストに対する目標 *(3) 製造技術の代替案 *(4) 当社から要求がある場合の固有要求事項 *(5) 過去の開発からの経験 *(6) 新材料 *(7) 製品の取り扱い及び人間工学要求事項(マテリアルハンドリング) *(8) 製造設計、 組み立て設計 *製造工程設計には、リスク分析の結果に応じしてのポカヨケ手法の採用を含める。 *
8.3.3.3, 特殊特性 【IAIF】【限定】 *当社によって決定された、また取引先企業によって実施された分析による特殊特性を特定するプロセスを *確立し、文書化してください。 *特殊特性の特定及び検討については、 部門横断的アプローチを用いる。それには次を含める。 *(1) 図面 (必要に応じて) 、FMEA、QC工程表、及び指示書における全ての特殊特性の文書化。特殊特性 *は、固有の記号で識別し、これらの各文書を通じて展開される。 *(2) 製品及び生産工程の特殊特性に対する管理及び監視戦略の開発 *(3) 要求がある場合、顧客規定の承認 *(4) 製品設計や工程設計に当社指定の特殊特性をインプットするときは、当社が定めた定義と記号に従う。 *
8.3.4, 設計・開発の管理 *設計・開発プロセスの管理について以下を実行してください。 *(1) 達成すべき結果を定める *(2) 設計・開発の結果について、要求事項を満たす能力を評価するためのレビューを行う。 *(3) 設計・開発からのアウトプットが、要求事項を満たすことを確実にするために、検証を行う。 *(4) 結果として得られる製品が、指定された用途または意図された用途に応じた要求事項を満たすことを *確実にするために妥当性確認を行う。 *(5) レビュー、または検証及び妥当性確認の活動中に明確になった問題に対して必要な処置をとる。 *(6) これらの活動についての文書化した情報を保持する。 *
8.3.4.1, 監視【IATF】【限定】 *設計・開発の規定 (計画) されたステップでの測定項目を定め、分析し、その要約した結果をマネジメント *レビューのインプットとして報告してください。 *当社が要求した場合、製品および工程の開発活動の測定項目は、要求に応じて報告または合意を *とって下さい。 *測定項目は、品質リスク (開発目標に到達しない性能・耐久性など) 、コスト、リードタイム、 *クリティカルパス (プロジェクトの納期短縮を効率的に見出す手法) などです。 *
8.3.4.2, 設計・開発の妥当性確認【IATF】【限定】 *設計・開発の妥当性確認は該当する産業規格及び政府機関の発行する規制基準を含む、 当社要求事項に従っ *て実行してください。 設計・開発の妥当性確認のタイミングは、 該当する場合には必ず当社指定のタイミン *グに合わせて計画する。 当社との契約上の合意がある場合、 設計・開発の妥当性確認には、 貴社の製品の相 *互作用の評価を含めてください。 *
8.3.4.3, 試作プログラム【IATF】【限定】 *当社から要求される場合、 試作プログラム及び試作Q C工程表を作成する。 試作は可能な限り、 量産で採用 *する同一の供給者治工具、及び製造工程を使用し、タイムリーな完了及び要求事項への適合のために、全て *の性能試験活動を監視する。 また、これらの業務をアウトソースする場合、 管理の方式及び程度を品質マネ *ジメントシステムの適用範囲に含めてください。 *
8.3.4.4, 製品承認プロセス【IATF】【限定】 *当社に定められた要求事項に適合するために、P P APや第二者監査などの当社が要求する手順に従って部 *品承認を行う。また、当社に要求される場合、 部品承認を当社に提出するのに先立って、外部から提供され *る製品及びサービスを8. 4. 3項によって承認し、 出荷に先立って文書化した当社の製品承認を取得する *とともに、記録を保持する。 *
8.3.5, 設計・開発からのアウトブプット *設計・開発からのアウトプットは、インプットと対比した検証ができるようなかな様式で明確にしてください。 *設計からのアウトプットは、次の通りとする。 *(1) 設計インプットの要求事項を満たしている。 *(2) 購買、製造に対しての適切な情報提供をする。 *(3) 合否の判定基準を含むかまたは引用している。 *(4) 製品が安全、かつ、適切に機能するために重要な設計上の特性 (例えば、運転、保管、取り扱い、安全 *及び廃茎に関する要求事項) を明確にしている。 *注 : 製造後、当社使用までの間、特別な梱包・保存が必要な場合、設計部署はこれを追加する。 *
8.3.5.1, 設計・開発からのアウトプット一-補足【IATF】【限定】 *製品設計からのアウトプットは、製品設計へのインプットに対しての検証及び妥当性確認が *できるような用語で表現してください。製品設計からのアウトプットは、次の事項を含めてください。 *(1) 設計FMEA、信頼性の結果 *(2) 製品の特殊特性及び仕様書 *(3) 適切な製品のポカヨケ *(4) 図面または数値データ を含む、製品の定義 *(5) 製品のデザインレビューの結果 *(6) サービス故障診断の指針並びに修理サービス性の指示書 *(7) サービス部品要求事項 *(8) 出荷のための荷次及びラベリング要求事項 *
8.3.5.2, 製造工程設計からのアウトプット【IATF】【限定】 *製造工程設計からのアウトプブットは、製造工程設計へのインプットと対比した検証が出来る様に文書化して *ください。 そのアウトプットは、 製造工程設計へのインプット要求事項と対比して検証をする。 製造工程設 *計からのアウトプットには次を含めてください。 *(1) 仕様書及び図面 *(2) 製品及び製造工程の特殊特性 *(3) 特性に影響を与える、工程インプット変数の特定 *(4) 設備及び工程能力調査を含む。生産及び管理のための治工具及び設備 *(5) 製品、工程及び治工具のつながりを含む製造工程フロー/レイアウト *(6) 生産能力の分析 *(7) 製造工程FMEA *(8) 保全計画及び指示書 *(9) QC 工程表 *(10) 標準作業及び作業指示書 *(11) 工程承認の合否判定基準 *(12) 品質、信頼性、保全性及び測定性に対するデータ *(13) 必要に応じて、ポカヨケの特定及び検証の結果 *(14) 製品/製造工程の不良の迅速な検出、フィードバック、及び修正の方法 *
8.3.6, 設計・開発の変更 *設計・開発の変更を明確にし、レビュー、検証及び妥当性確認を行い、管理してください。 *以下に関する文書化した情報を保持してください。 *(1) 設計・開発の変更 *(2) レビューの結果 *(3) 変更の許可 *(4) 悪影響を防止するための処置 *なお、変更を行う場合は、8.5.6 項を参照し、事前に当社に連絡し承認を受けてください。 *
8.3.6.1, 設計・開発の変更一-補足【IATF】【全体】 *取引先企業又はその供給者から提案されたものを含めて、初回の製品承認の後の全ての設計変更を、取り付 *け時の合い、形状・機能・性能・及び/又は耐久性に対する浴在的な影響を評価してください。これらの変 *更は、生産で実施する前に、当社要求事項に対する妥当性確認を実施して、内部で承認する。 当社から有要求 *される場合、生産で実施する前に文書化した承認、又は文書化された免除申請を顧客から得る事とする。 *
8.4, 外部から提供されるプロセス、製品及びサービスの管理 *
8.4.1, 一般 *購買品 (購入品、外注品、アウトソースした役務) が規定要求事項に適合することを確実にしてください。 *貴社の要求事項に従って製品を供給する能力を判断の根拠として、供給者を評価し、選定して下さい。選定、 *評価及び再評価の基準を定めて下さい。 *評価の結果の記録、及び評価によって必要とされた処置があればその記録を維持して下さい。 *仕事 (以下プロセスという) の一部及び/又は全部を外部業者へ「アウトソーシング (委託)」する場合は、 *必ず、事前に当社へ「アウトソーシング業者発注許可申請書」を、工程変更を伴う場合は、合わせて「エ程 *変更申請書」を提出し、承認を受けて下さい。 *・アウトソーシングした外部業者----アウトソーシング業者と呼ぶ。 *・ 取引先企業への部品・材料供給者一供給者と呼ぶ。 *また、アウトソースしたプロセスの管理を確実にして下さい。 アウトソースしたプロセスが原因で不適合品 *が発生したとしても、取引先企業は、当社に対するその責任を免れることはできません。 *所定様式 *「アウトソーシング業者発注許可申請書」(付表一4 TC12-A03/4)、 *「工程変更申請書」 (付表一5 TC12-A03/5) *,
8.4.1.1, 一般一-補足【IATF】【全体】 *サブアセンブリ、整列、選別、手直し及び校正のような、要求事項に影響するプロセスを、外部から提供 *される製品、プロセス、及びサービスの定義の範囲に含めてください。 *
8.4.1.2, 供給者選定プロセス【IATF】【全体】 *以下の事項を含む文書化した供給者選定プロセスを確立してください。 *(1) 選定される供給者の製品適合性、及び顧客に対する組織の製品の途切れない供給に対するリスク評価 *(2) 関連する品質及び納入パフォーマンス *(3) 供給者の品質マネジメントシステムの評価 *(4) 部門横断的意思決定 *(5) 該当する場合には、ソフトウェア開発能力の評価 *必要に応じて考慮する選定基準には、次の事項を含む *・ 自動車事業の規模(絶対値及び事業全体における割合) *・ 財務的安定性 *・ 納入された製品、材料、又はサービスの複雑さ *・ 必要な技術(製品またはプロセス) *・ 使用可能な資源(人材、インフラストラクチャ等) の適切性 *・ 設計、開発の能力(プロジェクトマネジメントを含む) *・ 製造の能力 *・ 変更管理プロセス *・ 事業継続計画(BCP) *・ 物流プロセス *・ 顧客サービス *
8.4.1.3, 当社指定の供給者 【IATF】【全体】 *契約 (例 : 当社の設計図面、仕様書) で規定されている場合、取引先企業は、当社が承認した供給者から、 *製品、材料又はサービスを購入して下さい。 *治工具/ゲージの供給者を含めて、当社指定の供給者を使用することは、購買製品の品質を確実に *する取引先企業の責任を軽減するものではありません。 *
8.4.2, 管理の方式及び程度 *取引先企業は、 購買製品が、 規定した購買要求事項を満たしていることを確実にするために、必要な検査又 *はその他の活動を定めて、実施して下さい。 *取引先企業又は当社が、供給者またはアウトソーシング業者で監査・検証を実施することにした場合には、 *その検証の要領及び購買製品のリリースの方法を購買情報の中で明確にして下さい *
8.4.2.1, 管理の方式及び程度一-補足【IATF】【限定】 *外部から提供される製品、プロセス、 並びにサービスに対し、 当社の要求事項への適合を検証するために用 *いる管理の方式及び程度を選定して文書化してください。 *
8.4.2.2, 法令・規制要求事項 【IATF】【全体】 *購入した製品、プロセス、及びサービスが、受入国、出荷国、及び当社に特定された仕向け国の現在該当す *る法令・規制要求事項が提供されれば、その要求事項に適合する事を確実にしてください。 *当社が、 法令・規制要求事項をもつ製品に対して特別管理を定めている場合、 取引先企業で管理する場合を *含めて定められた通りに実施し、維持してください。 *部材の新規採用及び変更時の報告、 環境管理物質に関する管理は、 当社が別に定める *グリーン調達ガイドライン'に従うこと *
8.4.2.3, 供給者の品質マネジメントシステム開発【IATF】【限定】 *取引先企業は、自動車の製品及びプロセスの供給者に、 当社による他の許可が無い限り、I ATFに認証さ *れることを最終目標とし、ISO9001に認証された品質マネジメントシステムの開発、 実施及び改善を *要求してください。 *
8.4.2.4, 供給者の監視【IATF】【全体】 *供給者から供給される製品の要求事項への適合を確実にするために、供給者のパフォーマンスを還価してください。*最低限、(1) ～ (4) のパフォーマンス指標を監視してください。当社から要求された場 *(5) 及び(6) を監視項目に含める。 *(1) 納入された製品の要求事項への適合 *(2) 構内保留及び出荷停止を含む、受入工場において当社が被った迷惑 *(3) 納期パフォーマンス *(4) 特別輸送の発生件数 *(5) 品質問題又は納期問題に関係する、特別状態の当社からの通知 *(6) ディーラーからの返却、ワランティー補償、市場処置、及びリコール *
8.4.2.4.1, 第二者監査【IATF】【限定】 *供給者の管理方法に、第二者監査プロセスを含めてください。 *第二者監査は、次の用途に利用する。 *(1) 供給者のリスク評価 *(2) 供給者の監視 *(3) 供給者の品質マネジメントシステム開発 *(4) 製品監査 *(5) 工程監査 *製品安全/規制要求事項、供給者のパフォーマンス、品質マネジメントシステム認証レベルを含むリスク分 *析に基づいて、第二者監査の必要性、方式、 頻度、及び範囲を決定するための基準を文書化し。 第二者監査 *報告書の記録を保持する。 *
8.4.2.5, 供給者の開発【IATF】【限定】 *現行の供給者に対して必要な、供給者開発の優先順位、方式、程度及びタイミングを決定してください。 *決定をするためのインプットには次を含める。 *(1) 供給者の監視(8. 4. 2. 4)を通じて特定されたパフォーマンス問題 *(2) 第二者監査の所見(8. 4. 2. 4. 1) *(3) 第三者品質マネジメントシステム認証の状態 *(4)リスク分析 *未解決(未達)のパフォーマンス問題を解決するため、及び継続的改善に対する機会を追及するために必要な *処置を実施する。 *
8.4.3, 外部供給者に対する情報 *取引先企業は供給者に伝達する前に、要求事項が妥当であることを確実にしてください。 *以下の事項に関する要求事項を、供給者に伝達しなければならない。 *(1) 提供されるプロセス、製品及びサービス *(2) 次の事項についての承認 *a. 製品及びサービス *b. 方法、プロセス及び設備 *c. 製品及びサービスのリリース *(3) 人々の力量、これには必要な適格性を含む *(4) 貴社と供給者との相互作用 *(5) 貴社が適用する、供給者のパフォーマンスの管理及び監視 *(6) 貴社又は当社が供給者先での実施を意図している検証又は妥当性確認活動 *
8.4.3.1, 外部供給者に対する情報補足【IATF】【全体】 *全ての該当する法令・規制要来事項並びに製品及び工程の特殊特性を供給者に引渡し、サプライチェーンを *たどって、製造現場にまで全ての該当する要求事項を展開するよう供給者に要求してください。 *
8.5, 製造及びサービス提供 *
8.5.1, 製造及びサービス提供の管理 *取引先企業は、製造及びサービス提供を計画し、管理された状態で実行して下さい。 管理された状態には、 *次の事項のうち該当するものを含めて下さい。 *(1) 製造する製品の特性 (設計のアウトプットから製品の特性を述べた情報が利用できる) 及び *合否判定基準に代表される達成すべき結果 *(2) 監視機器及び測定機器が利用でき、使用している。 *(3) 適切な段階で、監視及び測定が実施されている。 *(4) 適切な設備・環境を使用している。 *(5) 必要な適格性を含め、力量を備えた人員を働命する。 *(6) 製品の検査及び試験ではその結果が十分検証できない、また、例えば製造の欠陥が製品の *使用段階にしか現れないようなて工程の場合、その工程は認定された者が作業を実行すること *及び工程パラメータの連続的な監視及び管理を実施し、工程の妥当性確認の再確認を行う。 *(7) ヒューマンエラーを防止するための処置として、工程設計段階でポカヨケを検討する。 *
8.5.1.1, コントロールプラン【IATF】【全体】 *取引先企業は該当する製造サイト及び全ての供給する製品に対して、コントロールプランを、システム、 サ *ブシステム、構成部品又は材料を含めて策定する。但し、 共通の製造工程を使う類似の部品に対しては、フ *ァミリーコントロールプランを作成してもよい。 当社から要求されれば、 試作の結果、 設計のリスク分析か *らの情報、工程フロー図及び製造工程のリスク分析のアウトプット(FMEAのような)からの情報を反映す *るコントロールプランを作成する。 *当社から要求ある場合、量産試作又は量産コントロールプランで製造を行った除の測定及び適合性のデータを提供する。 *コントロールプランには次の (1) ~ (5) を含める *(1) 作業の段取り替え検証を含む、製造工程の管理に使用される管理手段 *(2) 該当する場合には、必ず、初品/終品の妥当性確認 *(3) 取引先企業及び当社の双方で定められた、特殊特性に施される管理の監視方法 *(4) もしあれば、当社から要求される事項 *(5) 不適合品が検出された場合、工程が統計的に不安定又は能力不足となった場合の規定された対応計画 *次の(6) (9) に該当する事項が発生した場合コントロールプランをレビューしレし、必要に応じて更新する。 *(6) 不良品を顧客に出荷したと判断した場合 *(7) 製品、製造工程、測定、物流、供給元、生産量変更、又はリスク分析 (FME A) に影響する *変更が発生した場合 *(8) 該当する場合には、必ず顧客苦情及び関連する是正処置が実施された後 *(9) 当社に要求されれば、リスク分析に基づく又は設定された頻度でQ C工程表のレビュー又は改訂の後で *当社の承認を得る *当社から様式の指定がある場合は、 所定様式>を使用して下さい。 *要求がない場合の様式は任意としますが、記載項目についてはく所定様式>の内容を網羅できるよう作成 *してください。 *く所定様式> *「QC工程表 」(付表一6 TC12-A03/67) *
8.5.1.2, 標準作業-一作業指示書及び目視標準【IATF】【全体】 *標準作業文書が次の通りである事を確実にしてください。 *(1) 作業を行う責任をもつ従業員に伝達され、理解される *(2) 読みやすい *(3) 責任のある要員に理解される言語で提供する *(4) 指定された作業現場で利用可能である *(5) 作業者の安全に対する規定を含める。 *
8.5.1.3, 作業の段取り替えの検証【IATF】【限定】 *段取り替えについて次の事項を実施してください。 *(1) 作業の 1 回目の稼働、材料切り替え、作業変更のような新しい設定が必要とする作業の段取りが実施 *される場合は設定した内容を検証する *(2) 段取り替え要員のために文書化した情報 (段取指示書) を保持する *(3) 該当する場合には、検証に統計的手法を使用する  *(4) 該当する場合には、 初品/終品の妥当性確認 (品質確認) を実施する。 必要に応じて、 初品は終品との比較 *ために保持し、終品は次の工程稼働まで保持する事が望ましい *(5) 段取り設定及び初品/終品の妥当性確認後の工程及び製品承認の記録を保持する *
8.5.1.4, シャットダウン後の検証【IATF】【全体】 *計画的又は非計画的シャットダウン (設備故障など) 後に、製品が要求事項に適合するために *必要な処置を定め、実施する。 *8.5.1.3, 項の規定を参考とする。 *
8.5.1.5, TPM(Total productive maintenance) 【IATF】【限定】 *取引先企業は文書化したTPM システムを維持してください。 *システムには、次の事項を含める。 *(1) 要求された量の適合製品を生産するために必要な工程設備の特定 *(2) (1) で特定された設備に対する交換部品の入手性 *(3) 機械、設備及び施設の保全のための資源提供 *(4) 設備、治工具及びゲージの包装及び保存 *(5) 該当する 当社固有要求事項 *(6) 文書化した保全目標、例えば OEE (総合設備効率) 、MTBF (平均故障間隔) 、MTTR (平均修理時間) 並びに *予防保全の遵守目標。保全目標に対するパフォオーマンスは、マネジメントレビュー(9.3) への *インブットとする *(7) 目標が未達であった場合の保全計画及び目標、並びに是正処置に取り組む文書化した処置計画に関する *定期的レビュー *(8) 予防保全の方法の使用 *(9) 該当する場合には、必ず、予知保全の方法の使用 *(10) 定期的オーバーホール *
8.5.1.6, 生産治工具並びに製造、試験、検査の治工具及び設備の運用管理【IATF】【限定】 *取引先企業は、治工具及びゲージの設計、製作及び検証活動に対して資源を提供して下さい。 *取引先企業は、次の事項を含めて、生産治工具の運用管理レステムを確立し、実施して下さい。 *(1) 保全及び修理用施設並びに従業員 *(2) 保管及び補充 *(3) 段取り替え *(4) 消耗する治工具の交換プログラム *(5) 製品の技術変更レベルを含む、治工具設計変更の文書化 *(6) 治工具の修正及び文書の改訂 *(7) 生産中、修理中又は廃却のような、状況を明確にする治工具の識別 *又、顧客所有の治工具、製造設備、及び試験/検査設備に、所有権及び各品目の適用が明確になるように、 *見やすい位置に恒久的マークが付いている事を検証する。 *取引先企業は、いずれかの作業がアウトソースされる場合は、これらの活動を監視するシステムを実施 *して下さい。 *
8.5.1.7, 生産計画【IATF】【全体】 *取引先企業は、ジャストインタイムのような当社の注文/需要を満たすために生産が計画されている事、 *及び工程の重要部分で生産情報にアクセスできるようにする情報システムによってサポートされている *状態を維持してください。 *
8.5.2, 識別及びトレーサビリティ *取引先企業は、製造及びサービス提供の全過程において、監視及び測定の要求事項に関連して *適切な手段でアウトプットの状態を識別して下さい。 *監視及び測定の要求事項に関連して、製品の状態を識別して下さい。 *トレーサビリティを可能とするために必要な文書化した情報を保持してください。 *・部材への識別はロットNo. を基本とし、現品ラベル (検査票と共用しても可) ・検査票・部材自体への *控印・刻印等、具体的な識別方法・構成は” 納入仕様書” へ必ず明記願います。 *・ 現品票、検査束へのロットN o. 表記は、文字情報と共にバーコード表記を極力お願いします。 *・トレーサビリティ管理の範囲は、原則、全工程のトレースバックができることを求めます。 *
8.5.2.1, 識別及びトレーサビリティー-補足 【IATF】【限定】 *トレーサビリティの目的は、当社が受け入れた製品又は市場において品質及び/又は安全関係の不適合を含ん *でいる可能性がある製品に対して、開始、停止時点の明確な特定を支援する事である。 *取引先企業は、 当社に要求された場合、 当社が受け入れた製品又は市場において品質及び/安全関係の不適合 *を含んでいる可能性がある製品について、トレーサビリティを実施する。 *トレーサビリティシステムには、次の事項を含めてください。 *(1) 取引先企業が、不適合品及び疑わしい製品を識別できるようにする *(2) 取引先企業が、不良品及び疑わしい製品を分別できるようにする *(3) 当社及び/又は規制の対応時間の要求を満たす能力を確実にする *(4) 取引先企業が当社要求の対応時間を満たせるように出来る様式で文書化した情報を保持する事を    ー *確実にする *(5) 顧客又は規制基準によって規定されている場合、個別製品のシリアル化された識別を確実にする *(6) 識別及びトレーサビリティ要求事項が、 安全/規制特性をもつ、 外部から提供される製品に拡張適用する *事を確実にする *
8.5.3, 当社または供給者の所有物 *取引先企業は、 当社または供給者の所有物について、それが取引先企業の管理下にある間、又はそれを使用 *している間は、 注意を払って下さい。 使用するため又は製品に組み込むために提供された当社または供給者 *の所有物の識別、検証及び保護・防護を実施して下さい。 当社または供給者の所有物を紛失若しくは損傷し *た場合又は使用には適さないとわかった場合には、当社または供給者に報告し、記録を維持して下さい。 *当社所有の型・治工具、製造、試験、検査治工具及び設備は、各品目の所有者を判別できるように、 *恒久的な表示をして下さい。 *
8.5.4, 保存 *取引先企業は、製造及びサービス提供を行う間、要求事項への適合を確実にするために必要な程度に、 *製品を保存してください。 *この保存には、 該当する場合、識別、 取扱い、包装、 保管及び保護を含めて下さい。 *
8.5.4.1, 保存―――補足 【IATF】 【全体】 *保存に関わる考慮事項には、識別、取扱い、汚染防止、包装、保管、輸送時の保護を含める。 *劣化を発見するために、保管中の製品の状態は、適切に計画された間隔で評価する。 *取引先企業は在庫回転時間を最適化するために、 及び 【先入れ先出し】 (FIFO) のような、 在庫回転を保証するた *めに在庫管理システムを用いる。 旧式となった製品は、不適合品と同様な方法で管理してください。 *保存、包装、出荷およびラベリングについて当社から要求ある場合はそれに従って下さい。 *
8.5.5, 引き渡し後の活動 *引渡し後に、当社より製品品質上の調査・解析等要求されたものについては、法令・規制要求事項 *当社要求事項を考慮して調査を実施して下さい。 *
8.5.5.1, サービスからの情報のフィードバック 【IATF】 【全体】 *製品引き渡し後に当社又は市場で特定された取引先企業のサービス問題は、必要に応じて、 製造、 技術及び *設計へ情報を伝達するプロセスを確立し、支援を要請する体制を整えてください。 *
8.5.6, 変更の管理 *取引先企業は、 製造又はサービス提供に関する変更について、要求事項への継続的な適合を確実にするため *に必要な程度までレビューし、 管理してください。 レビューの結果、変更を正式に許可した人物及び必要な *処置を記載した記録を保持してください。 *変更に際しては、事前に所定の 「工程変更申請書」を当社へ申請、承認を受けて下さい。 *変更申請は原則として12ヶ月前までに提出下さい。 材料の変更については 18カ月前までに提出ください。 *また、 妥当性確認は変更前までに必ず完了させてください。 *但し、当社での評価に長期を要する場合があるので、 変更前品在庫の確保について、申請時に当社担当者と *充分な調整を実施してください。 *<所定様式> *「工程変更申請書」(付表-5 TC12-A03/5) *
8.5.6.1, 変更の管理-補足 【IATF】 【全体】 *取引先企業は、変更を管理し、 対応するプロセスを持ち、文書化してください。 *取引先企業、当社又は供給者に起因する変更を含み、変更による影響を事前に評価してください。 *影響性の事前評価には、次の事項を含める *(1) 当社要求事項に適合するための検証及び妥当性確認活動を定める。 *(2) 変更は、実施の前にその妥当性確認する。 *(3) 関係するリスク分析の証拠を文書化 (FMEA等)する。 *(4) 検証及び妥当性確認の記録を保持する。 *当社から要求ある場合、 次の事項を実施しなければならない。 *(5) 直近の製品承認後の、 計画した製品実現の変更の当社への通知 *(6) 変更実施の前に、文書化した承認を得る。 *(7) 初期管理及び妥当性確認のような、 追加の検証の完了 *
8.5.6.1.1, 工程管理の一時的変更 【IATF】 【全体】 *取引先企業は、 製造工程の故障などの影響で、本来の工程管理が使用出来ずに代替管理方法を採用して *一時的生産を実施する場合、 特別採用申請 (8.7.1.1)を行って内部承認及び当社承認を得る事とする。 *代替管理方法の使用を運用管理するプロセスを文書化して実施して下さい。 *代替方法にて生産されている期間中においても始業点検表を用いた日常点検及び各作業文書による製造や *品質確認を行い、 本来の工程管理と差異の無き事を確認する。 本来の工程管理へ復帰する際は、コントロー *ルプランに定められた工程管理方法が有効に機能している事を確認する。 代替管理方法が使用されていた間 *に生産された全ての製品に対してトレーサビリティ(8.5.2)を実施し、製品品質を確認する。 *
8.6, 製品及びサービスのリリース *取引先企業は製品が要求事項を満たしていることを検証するために、 適切な段階 (受入れ 工程内 最終検 *査・他)において計画した検査・試験を実施して下さい。 受入れ 工程内 最終検査 *検査・試験が完了するまでは当社への製品のリリースを行ってはならない。 *ただし、当社が承認した場合はこの限りではない。 *製品のリリースについて文書化してください。 これには以下を含める事とします。 *(1) 合否判定基準への適合の証拠 (検査記録等) *(2) リリースを許可した人に対するトレーサビリティ *
8.6.1, 製品及びサービスのリリース――補足 【IATF】【全体】 *各段階で計画した検査試験はコントロールプランに規定され、 コントロールプランに *規定されたすべての活動が完了した後、製品のリリースを行ってください。 *
8.6.2, レイアウト検査及び機能試験 【IATF】 【全体】 *レイアウト検査とは、図面に示される全ての製品寸法を完全に測定する事であり、 検査頻度は当社が決定す *る。レイアウト検査並びに製品の機能検証の実施結果は検査成績書に記録し、 当社がレビューのために利用 *できる状態にしてください。 *
8.6.3, 外観品目 *当社では、 自動車の外観を構成する部品を製造しない為、非該当とします。 *
8.6.4, 外部から提供される製品及びサービスの検証及び受入れ 【IATF】 【限定】 *取引先企業は、次の方法を一つ以上用いて、 購買製品の品質を保証するプロセスをもって下さい。 *(1) 供給者が行う統計データの受領及び評価 *(2) 実績に基づく抜取り検査のような、 受入検査及び/又は試験 *(3) 供給者またはアウトソーシング業者のサイトにおける第二者、若しくは第三者の審査又は監査、 *これには受入可能な納入製品の要求事項への適合の記録を伴う。 *(4) 指定された試験所による部品評価 *(5) 当社が同意した他の方法 *
8.6.5, 法令・規制への適合 【IATF】 【限定】 *自社の生産フローに外部から提供される製品をリリースする前に、 取引先企業は外部から提供されるプロセ *ス、製品及びサービスが製造された国、及び指定されれば当社指定の仕向国における最新の法令、規制及び *他の要求事項に適合している事を確認し、 それを証明する証拠を提出する。 *
8.6.6, 合否判定基準 【IATF】 【全体】 *合否判定基準は、取引先企業によって定められ、納入仕様書等により当社の承認を受けてください。 *抜取りで得られた計数データの合否判定水準は、原則不良ゼロ (ゼロ・ディフェクト) にして下さい。 *外観等の官能検査項目の判定基準については、必要に応じて当社と合意を取ってください *
8.7, 不適合なアウトプットの管理 *
